,2012,2013,2014,2015,2016,2017,2018,2019
嘉化能源,0.9682,-2.4604,17.192999999999998,19.9125,16.5005,17.4238,19.7032,22.9202
恒瑞医药,21.1848,20.8292,21.1068,23.8727,23.7449,23.8005,23.3162,22.8715
恒顺醋业,-5.0392,3.7609,6.7241,18.2014,11.6261,18.1679,17.9398,18.0258
万华化学,18.9431,18.6075,14.5667,11.6946,15.1099,25.0537,21.1636,15.5668
西藏珠峰,5.8667,1.4552,0.6727,9.3603,43.8343,45.1364,44.0141,26.8609
浙江龙盛,10.582,10.3847,18.5329,19.3913,20.0909,18.0896,22.0831,24.8362
五洲交通,5.5008,2.5980000000000003,0.6336,-10.4672,14.7796,19.8714,22.2803,40.2555
宁沪高速,30.5446,36.4532,33.599000000000004,29.5607,37.3549,38.9694,44.8962,42.6712
盘江股份,19.3951,5.416,5.9367,0.5702,5.0079,14.2353,15.507,16.8923
华鲁恒升,6.4481,5.7799,8.2844,10.4568,11.3684,11.7414,21.0329,17.2865
片仔癀,29.9347,30.8839,30.119,24.5716,21.9501,21.0134,23.6821,24.2375
涪陵电力,2.5189,4.3531,5.6723,14.8887,10.0854,10.9897,14.2462,15.1312
贵州茅台,52.9513,51.6299,51.5279,50.3834,46.138999999999996,49.8239,51.3718,51.4693
法拉电子,20.811999999999998,22.6688,22.8166,24.5667,26.4374,25.7416,26.7262,27.7612
济川药业,-21.6491,16.454,17.3919,18.1303,19.9741,21.6935,23.4159,23.3858
恒生电子,21.0965,28.0932,24.9691,20.1656,-2.407,16.2519,20.7902,36.5566
海螺水泥,14.1201,17.7545,19.0716,14.9638,16.0028,21.8146,23.8593,21.875999999999998
用友网络,9.1413,13.0346,13.0207,7.7055,4.7751,8.8281,10.5171,15.5272
尖峰集团,11.3959,11.0063,14.1592,9.8774,12.9824,13.6954,20.0047,22.6614
百川能源,3.6529,-6.9026,5.2143,-25.2811,32.1885,29.1357,21.2661,15.1731
舍得酒业,18.8755,0.83,0.9266,0.6165,5.4871,8.6732,16.8554,20.315
祁连山,4.0823,9.283999999999999,9.0415,2.7874,2.6438,8.8633,11.9269,18.8556
宁波富达,10.3083,9.8866,5.1268,-40.6495,4.8711,-21.3677,17.7425,21.1983
通策医疗,25.214000000000002,22.123,19.4991,25.4004,15.1169,19.2152,23.2336,26.8063
中国海防,4.5831,1.5804,2.5298,-29.6856,7.0951,24.7883,19.253,16.5023
宁波富邦,0.5248,-4.2487,0.3087,-6.4774,2.4199,8.7805,-4.2077,21.5745
水井坊,20.7275,-31.2515,-114.698,10.2909,19.1089,16.3782,20.5547,23.3499
华新水泥,5.4333,8.7243,9.3383,1.6999,4.59,10.588,20.7729,22.3313
福建水泥,1.6022,1.725,3.5428,-35.1249,-4.2234,-14.0238,13.9521,16.5317
山西汾酒,21.4102,16.1884,9.1386,13.1234,14.5648,16.6321,16.6265,17.2858
同济科技,6.8084,5.6641,6.5205,7.0518,9.5114,8.3274,11.5027,15.0945
通化东宝,6.0156,14.9026,19.0541,29.3573,31.3276,33.0055,31.1529,29.1538
中炬高新,6.9778,9.5054,11.0765,9.9349,12.9913,14.1688,16.3505,16.9274
宝丰能源,,,,,,,,28.0205
隆基股份,-3.0847,3.1715,8.1137,8.7562,13.4517,21.6926,11.673,16.8924
山东出版,,,,,,15.2681,15.782,15.7822
恒立液压,26.4297,18.0495,8.1649,5.5749,4.9177,13.6304,19.8755,23.9776
陕西煤业,,,6.8338,-7.2285,13.2191,30.8789,27.8366,22.6589
