,2012,2013,2014,2015,2016,2017,2018,2019
光莆股份,,,,,,13.0796,20.8399,24.3648
正海生物,,,,,,17.3389,16.9565,19.2211
中孚信息,,,,,,17.1556,9.8416,24.3321
圣邦股份,,,,,,18.3348,12.6627,17.6746
杰恩设计,,,,,,24.206,21.1108,18.6193
朗新科技,,,,,,14.1408,10.6156,34.0092
中石科技,,,,,,18.5701,22.8165,16.8266
艾德生物,,,,,,19.6563,18.0289,16.3336
双一科技,,,,,,16.7019,9.5188,15.6816
光威复材,,,,,,11.8458,13.8067,17.0852
森霸传感,,,,,,19.7581,15.3805,16.1225
天宇股份,,,,,,10.5735,11.9718,33.6277
药石科技,,,,,,18.1429,24.3589,22.6867
宏达电子,,,,,,18.3634,15.2543,17.7095
光弘科技,,,,,,15.6418,15.9772,21.7232
锐科激光,,,,,,,33.9402,15.0212
迈为股份,,,,,,,23.5487,19.8032
爱朋医疗,,,,,,,15.9895,15.9944
迈瑞医疗,,,,,,,34.1555,27.736
立华股份,,,,,,,,35.8028
新诺威,,,,,,,,16.0838
迪普科技,,,,,,,,18.4833
新媒股份,,,,,,,,27.3311
智莱科技,,,,,,,,25.7979
拉卡拉,,,,,,,,20.4889
帝尔激光,,,,,,,,34.3288
中简科技,,,,,,,,16.9431
新城市,,,,,,,,17.2698
卓胜微,,,,,,,,45.6452
值得买,,,,,,,,22.0722
唐源电气,,,,,,,,17.3691
壹网壹创,,,,,,,,26.108
米奥会展,,,,,,,,15.8562
左江科技,,,,,,,,21.1413
力合科技,,,,,,,,20.7062
上海机场,10.1527,11.4441,11.8366,13.0546,13.167,15.5323,15.8545,16.6977
三一重工,26.6439,12.3802,2.9753,0.5966,0.8965,8.6788,21.4672,29.5278
浙江广厦,2.7726,3.0485,11.067,-39.7107,21.3536,8.6572,4.9491,40.4556
九鼎投资,1.6076,3.1905,8.9579,28.1828,44.2122,17.5131,13.5959,33.0755
浙江富润,22.9781,16.8472,-7.1519,2.4946,6.5822,7.5255,9.2989,18.6568
重庆啤酒,10.9359,10.5111,5.2236,-5.4323,15.265,27.5285,34.9969,51.2477
天坛生物,21.4505,21.3807,6.6404,0.514,12.6585,45.0839,15.8931,16.7189
联美控股,15.5488,16.9982,17.5307,16.3945,38.3357,19.2387,19.9335,23.2873
卧龙地产,5.059,4.5121,16.9365,3.7327,4.8858,17.5081,27.2099,20.0942
伊力特,19.3151,19.6612,17.2052,16.2812,14.7853,17.2763,18.3881,16.7635
嘉化能源,2.593,-5.5997,33.7985,21.3497,19.9984,18.5574,16.9159,18.17
恒瑞医药,22.8301,21.3996,21.2092,24.3099,23.1992,23.1782,23.1685,23.9443
恒顺醋业,-7.9562,7.417999999999999,8.2642,17.5202,11.1934,16.6625,15.8854,15.1427
万华化学,30.1682,32.1584,23.869,14.5251,27.8823,52.8955,34.7549,26.6079
西藏珠峰,,137.3309,26.3141,45.4566,66.2148,74.2008,46.4711,24.4361
浙江龙盛,11.5364,16.0482,24.8953,20.331,13.787,15.1927,22.2755,22.5717
五洲交通,11.8735,6.5941,2.4685,-3.2872,7.5882,11.7363,12.3933,22.2401
宁沪高速,12.6697,14.1451,12.8916,12.28,15.6776,15.6915,17.6272,15.3599
盘江股份,20.6694,6.4721,4.6312,0.3963,3.3201,13.9359,14.5229,15.6825
华鲁恒升,8.5259,8.595,12.89,12.9353,11.2707,14.005999999999998,28.2776,18.6548
片仔癀,26.2888,21.4537,16.2089,15.3922,16.1272,21.1554,24.9752,23.5988
涪陵电力,8.0888,13.6752,15.08,30.5139,21.1826,22.3534,26.8157,23.8915
贵州茅台,45.0047,39.4328,31.9612,26.4205,24.4385,32.9542,34.4643,33.1177
法拉电子,17.1726,18.6028,18.1333,17.7446,19.3252,19.3766,19.1064,17.9223
济川药业,-6.8255,49.05,30.1411,27.6733,29.5379,30.3621,34.2379,28.0737
恒生电子,15.6458,21.6529,20.2193,20.8704,0.7569,17.2167,20.636999999999997,36.9651
海螺水泥,13.4575,17.8637,17.9721,10.9962,11.5974,19.1003,29.5052,26.8688
用友网络,12.7616,17.6152,15.2564,6.8121,3.5226,6.7448,9.8573,17.2155
尖峰集团,11.1414,12.3966,14.9048,9.5056,12.5321,13.9036,20.3281,20.8489
百川能源,13.7341,-26.6796,10.7709,-18.2592,51.0796,28.3976,23.9877,16.186
舍得酒业,16.9367,0.5145,0.5972,0.3174,3.5089,5.9706,13.6711,18.2896
祁连山,5.294,11.8301,12.5667,3.7338,3.4405,11.2544,11.8017,19.6519
宁波富达,10.0639,11.0114,2.9493,-37.2471,5.0493,-40.5673,35.7958,18.1033
通策医疗,24.3753,21.4012,19.1679,26.5184,16.6081,23.9279,28.7803,29.8694
中国海防,9.1683,0.7631,0.8605,-22.9307,1.4622,10.1309,6.2362,24.7514
宁波富邦,3.7,-31.7875,2.6175,-72.8275,33.1592,70.8567,-25.8578,67.6407
水井坊,18.9985,-8.7386,-29.5706,7.0738,16.3432,22.0006,33.7172,41.6386
华新水泥,7.1723,14.332,13.1911,1.0601,4.6115,18.9785,36.2684,33.3964
福建水泥,2.4329,1.7001,4.1152,-33.7705,1.6326,-22.6979,46.2763,41.4875
山西汾酒,43.9291,26.0238,9.2157,12.5196,13.1767,18.8891,25.619,28.3799
同济科技,8.5564,10.935,11.2948,9.2169,9.8274,12.8248,13.8322,23.9098
通化东宝,3.1294,9.3053,13.5522,21.4467,20.0334,19.7602,18.1278,16.6834
中炬高新,6.6672,10.4315,12.782,10.1577,13.6402,15.2612,18.0096,19.0089
宝丰能源,,,,,,,,20.5314
隆基股份,-2.5078,2.4233,9.4988,11.7554,19.6764,29.3523,16.6931,23.9542
山东出版,,,,,,19.7906,16.1742,15.1241
恒立液压,8.5449,6.5692,2.6725,1.8366,2.0166,10.392999999999999,19.9389,25.5899
陕西煤业,,,2.9092,-9.1005,8.4059,26.5916,23.1699,21.3801
三六零,15.5145,13.4611,16.1625,14.562000000000001,9.7572,0.768,17.6608,22.7037
招商南油,,,,,,,,20.7956
新坐标,,,,,,24.3839,16.2511,17.7191
国检集团,,,,,17.1348,14.7385,17.3922,17.1705
博通集成,,,,,,,,29.7507
昭衍新药,,,,,,18.7078,17.9256,24.1397
养元饮品,,,,,,,29.3882,22.1075
汇顶科技,,,,,43.865,28.5173,19.5569,43.9439
迎驾贡酒,,,,17.0841,18.008,16.5593,18.4157,20.482
快克股份,,,,,23.2711,19.4773,19.7239,18.6561
鸿远电子,,,,,,,,17.4689
银都股份,,,,,,17.9263,14.9676,15.685
海天味业,,,36.6639,30.9086,30.3027,32.4475,34.0622,35.1523
华铁应急,,,,8.2381,4.9405,2.8465,-2.2,17.0456
天味食品,,,,,,,,19.9298
福蓉科技,,,,,,,,26.8893
浙江鼎力,,,,19.6319,17.4569,17.2213,20.0033,23.8973
百傲化学,,,,,,17.4919,19.5291,33.4788
今世缘,,,22.1395,18.0852,17.441,18.141,20.2643,21.9247
三美股份,,,,,,,,17.3616
基蛋生物,,,,,,26.1517,20.0585,22.871
新天然气,,,,,16.4863,14.1397,15.9105,17.6231
集友股份,,,,,,26.9746,20.0372,22.486
吉比特,,,,,,28.8383,27.7585,27.0724
勘设股份,,,,,,23.7889,16.8559,17.7241
八方股份,,,,,,,,26.5011
金石资源,,,,,,12.9067,17.5601,24.1621
思维列控,,,,17.6849,7.8929,5.2515,7.2069,22.4306
绝味食品,,,,,,24.8561,22.8949,21.1072
伟明环保,,,,21.9203,18.2628,24.0012,27.4952,26.7419
捷昌驱动,,,,,,,24.1967,16.9263
苏利股份,,,,,19.7394,15.6981,19.0486,16.2984
地素时尚,,,,,,,25.9897,19.5248
口子窖,,,,20.3616,19.8128,23.8835,27.2422,26.105
麒盛科技,,,,,,,,20.9893
艾迪精密,,,,,,20.7571,24.1647,22.6316
安图生物,,,,,29.5969,26.9647,31.2897,34.5184
亿嘉和,,,,,,,28.4306,23.4226
宁水集团,,,,,,,,24.1924
健友股份,,,,,,18.6655,18.9811,22.4575
日辰股份,,,,,,,,21.8371
大元泵业,,,,,,29.0757,17.6158,16.0028
永安行,,,,,,47.356,7.2249,22.9279
科博达,,,,,,,,18.5234
歌力思,,,,14.7275,12.1802,15.8729,16.581,16.9698
诚意药业,,,,,,15.7407,15.3783,18.5397
好太太,,,,,,24.2301,21.9464,20.3077
飞科电器,,,,,39.3748,37.793,33.7157,26.2197
好莱客,,,,24.4542,23.9497,21.6325,17.4984,15.0026
克来机电,,,,,,14.6423,14.0522,18.2652
丸美股份,,,,,,,,25.4571
兆易创新,,,,,19.0752,26.1887,22.1699,17.042
中电电机,,,12.124,6.8722,3.7277,5.0385,7.2035,16.6048
杭可科技,,,,,,,,18.5786
澜起科技,,,,,,,,17.0456
心脉医疗,,,,,,,,22.1126
乐鑫科技,,,,,,,,16.5018
南微医学,,,,,,,,19.8772
天宜上佳,,,,,,,,15.1522
柏楚电子,,,,,,,,20.2036
卓越新能,,,,,,,,15.8542
建龙微纳,,,,,,,,15.825999999999999
祥生医疗,,,,,,,,15.2369
华熙生物,,,,,,,,18.6869
嘉元科技,,,,,,,,20.4361
