,2012,2013,2014,2015,2016,2017,2018,2019
光莆股份,,,,,,9.0318,12.6776,14.2103
正海生物,,,,,,15.6135,15.3956,16.4648
中孚信息,,,,,,12.3787,7.4448,18.6604
圣邦股份,,,,,,14.0821,10.3504,14.23
杰恩设计,,,,,,18.8651,18.3816,15.8887
朗新科技,,,,,,10.0145,5.9344,26.8115
中石科技,,,,,,12.4392,16.2397,12.7077
艾德生物,,,,,,17.9489,16.7466,14.524000000000001
双一科技,,,,,,13.6924,8.1315,12.8456
光威复材,,,,,,8.8744,11.1361,13.642000000000001
森霸传感,,,,,,18.4225,14.6279,15.135
天宇股份,,,,,,5.5324,6.9114,21.4177
药石科技,,,,,,15.6456,20.2473,16.9885
宏达电子,,,,,,16.6948,13.8752,16.9203
光弘科技,,,,,,12.3368,13.7177,17.3879
锐科激光,,,,,,,27.8992,12.5612
迈为股份,,,,,,,8.8778,7.2554
爱朋医疗,,,,,,,13.9208,14.2277
迈瑞医疗,,,,,,,20.6608,19.8251
立华股份,,,,,,,,27.5535
新诺威,,,,,,,,12.8926
迪普科技,,,,,,,,14.4548
新媒股份,,,,,,,,21.01
智莱科技,,,,,,,,20.7721
拉卡拉,,,,,,,,10.07
帝尔激光,,,,,,,,19.7262
中简科技,,,,,,,,12.7379
新城市,,,,,,,,12.1364
卓胜微,,,,,,,,40.1244
值得买,,,,,,,,15.2834
唐源电气,,,,,,,,13.0925
壹网壹创,,,,,,,,22.7602
米奥会展,,,,,,,,13.8353
左江科技,,,,,,,,17.648
力合科技,,,,,,,,15.4435
上海机场,8.9662,10.0328,10.2436,11.0338,11.2799,14.1574,15.1562,15.4504
三一重工,10.384,4.8233,1.1917,0.2224,0.2668,3.7182,9.5498,13.9907
浙江广厦,0.3887,0.5128,2.2071,-8.5915,6.8999,3.8618,1.9214,22.0413
九鼎投资,0.4403,0.8796,2.8259,8.0333,14.2989,7.3389999999999995,6.1618,16.1375
浙江富润,12.2272,11.414000000000001,-2.2377,0.998,4.7264,6.2514,7.4073,12.3148
重庆啤酒,2.9891,2.2604,-0.7624,-4.0163,3.9493,9.4916,12.383,21.3899
天坛生物,9.2142,8.8401,3.8825,1.9847,5.3088,26.3739,16.8538,15.7143
联美控股,5.4081,5.5944,5.81,5.7685,14.7309,10.7135,12.1872,14.2377
卧龙地产,2.261,1.8291,6.3736,1.3673,1.9023,7.2004,11.3526,7.397
伊力特,9.0216,10.4581,11.665999999999999,11.8789,10.7523,12.3374,13.5593,11.8339
嘉化能源,0.8568,-2.499,18.7243,12.4079,11.7158,12.5768,13.1509,14.4435
恒瑞医药,21.5005,19.7068,19.2913,21.6092,20.399,20.3461,20.1046,21.3409
恒顺醋业,-1.921,1.6109,3.4633,10.5758,7.4354,11.5901,11.2134,11.3257
万华化学,15.1148,14.0291,8.8472,5.0999,9.2282,22.8304,17.9762,12.1918
西藏珠峰,17.5426,4.7979,2.0073,16.3602,41.0397,42.9631,22.444000000000003,13.3828
浙江龙盛,4.7066,8.0977,13.3704,11.5922,7.4581,6.3315,8.5474,10.224
五洲交通,2.766,1.2645,0.1495,-1.6609,1.605,3.2212,3.8069,8.0248
