,2012,2013,2014,2015,2016,2017,2018,2019,pe_quantile,mv_quantile
华测检测,14.4623,16.4563,13.0264,13.3759,5.3027,5.4757,10.3701,16.2465,0.8470588235294118,0.9874509803921568
爱尔眼科,12.75,14.118,16.7557,19.3689,21.5382,18.5693,18.4975,22.4455,0.8682352941176471,0.9270588235294117
同花顺,2.3133,1.9363,5.188,57.6875,47.6966,23.7051,19.4786,24.4934,0.483921568627451,0.8549019607843137
长信科技,14.9284,16.97,8.6549,8.3562,9.5487,13.425999999999998,15.4521,15.15,0.19137254901960785,0.6807843137254902
建新股份,1.5015,4.4544,4.7991,2.6297,2.5181,9.1989,51.2626,19.5578,0.42745098039215684,0.043137254901960784
中航电测,6.2302,5.9166,8.7445,8.2854,7.9362,9.2591,10.7265,13.8862,0.07137254901960784,0.5803921568627451
汇川技术,12.2261,19.4402,20.3781,21.502,21.2373,20.9039,20.0011,12.8121,0.9019607843137255,0.9701960784313726
青松股份,6.3069,6.1945,8.9238,1.8153,5.3016,13.9066,43.5676,21.9034,0.3819607843137255,0.9145098039215687
先河环保,5.2371,6.4118,7.1933,7.2445,7.4733,12.331,15.2134,13.5703,0.46588235294117647,0.3168627450980392
宋城演艺,9.1762,10.2404,10.9765,13.9397,15.03,15.5464,16.292,14.8165,0.9945098039215686,0.9945098039215686
四方达,5.1922,4.8259,5.3829,6.3334,3.9711,7.9422,7.8291,13.2883,0.30901960784313726,0.2901960784313726
安科瑞,16.615,14.9816,15.0366,12.4826,14.1739,14.9324,13.7602,15.1387,0.48470588235294115,0.6729411764705883
聚飞光电,17.1313,15.214,18.1886,7.4466,8.8157,3.2804,8.5258,14.9408,0.0407843137254902,0.6611764705882353
晶盛机电,15.6697,2.5813,3.8663,5.9264,8.0023,11.285,15.2665,14.808,0.4454901960784314,0.9662745098039216
中颖电子,6.0475,4.5901,5.4075,8.3484,16.4237,18.0935,20.5119,20.7262,0.7364705882352941,0.9913725490196078
麦克奥迪,10.5347,8.8785,7.0476,13.1062,12.0323,12.5259,15.1215,16.0579,0.5270588235294118,0.615686274509804
天孚通信,,,,20.598000000000003,16.9537,14.2062,14.4216,14.8723,0.043137254901960784,0.8007843137254902
菲利华,,,14.3612,12.3026,14.0714,14.1408,16.4221,12.9755,0.8250980392156863,0.8815686274509804
迪瑞医疗,,,15.3702,11.2951,11.9757,14.377,15.1089,15.9593,0.3027450980392157,0.7333333333333333
花园生物,,,5.922000000000001,1.6994,5.9754,12.8211,21.6272,20.801,0.3388235294117647,0.6
汉宇集团,,,16.5716,12.4979,14.9515,11.4351,11.6143,12.056,0.02980392156862745,0.3952941176470588
三环集团,,,24.1122,22.1475,22.5526,19.6782,20.462,12.0158,0.9066666666666666,0.9945098039215686
南华仪器,,,,11.8367,9.4379,9.3959,6.9132,47.8279,0.1780392156862745,0.3843137254901961
深信服,,,,,,,23.3017,19.5633,0.7747875354107648,0.9575070821529745
华铭智能,,,,11.2489,9.1945,7.9301,8.6585,25.0195,0.011764705882352941,0.20313725490196077
富祥药业,,,,21.2858,25.7218,20.976,18.9689,23.4698,0.03372549019607843,0.6313725490196078
温氏股份,,,,33.2835,44.7222,21.4058,11.7807,35.0581,0.37098039215686274,0.00784313725490196
新光药业,,,,,25.0488,15.7708,12.0619,12.093,0.060891938250428816,0.2006861063464837
健帆生物,,,,,23.1241,22.0892,26.0218,29.723000000000003,0.7954345917471466,0.9938542581211589
佳发教育,,,,,15.0225,11.937999999999999,17.6305,23.7401,0.008325624421831638,0.32007400555041626
筑博设计,,,,,,,,19.5805,0.13953488372093023,0.125
太辰光,,,,,14.0744,9.1897,13.0967,13.3388,0.7376893939393939,0.06439393939393939
安车检测,,,,,12.9011,14.8366,20.3125,24.7769,0.05587121212121212,0.5672348484848485
会畅通讯,,,,,,16.3574,5.3446,12.6976,0.014691478942213516,0.7189030362389814
华测导航,,,,,,23.8945,12.8357,14.9484,0.3738601823708207,0.9756838905775076
光莆股份,,,,,,13.0796,20.8399,24.3648,0.6223132036847492,0.9457523029682702
透景生命,,,,,,21.4122,14.7594,14.3213,0.593167701863354,0.8467908902691511
中石科技,,,,,,18.5701,22.8165,16.8266,0.08165829145728644,0.314070351758794
艾德生物,,,,,,19.6563,18.0289,16.3336,0.5915178571428571,0.8091517857142857
光威复材,,,,,,11.8458,13.8067,17.0852,0.4931350114416476,0.8215102974828375
森霸传感,,,,,,19.7581,15.3805,16.1225,0.027777777777777776,0.6111111111111112
创源股份,,,,,,15.6854,13.628,17.4099,0.5556844547563805,0.2517401392111369
光弘科技,,,,,,15.6418,15.9772,21.7232,0.05667506297229219,0.5012594458438288
华宝股份,,,,,,,16.113,14.743,0.6349206349206349,0.6309523809523809
迈瑞医疗,,,,,,,34.1555,27.736,0.8890728476821192,0.9354304635761589
立华股份,,,,,,,37.1522,35.8028,0.9578544061302682,0.11877394636015326
新诺威,,,,,,,,16.0838,0.14859437751004015,0.463855421686747
迪普科技,,,,,,,,18.4833,0.12603305785123967,0.32231404958677684
新媒股份,,,,,,,,27.3311,0.012526096033402923,0.19206680584551147
拉卡拉,,,,,,,,20.4889,0.12421052631578948,0.391578947368421
值得买,,,,,,,,22.0722,0.023696682464454975,0.22748815165876776
中信出版,,,,,,,,19.4859,0.08177570093457943,0.352803738317757
力合科技,,,,,,,,20.7062,0.13005780346820808,0.13005780346820808
泰和科技,,,,,,,,13.9975,0.12727272727272726,0.12121212121212122
华辰装备,,,,,,,,14.7521,0.7607361963190185,0.09815950920245399
中国国贸,8.3738,6.8081,10.6424,11.5432,11.6478,10.0744,11.5729,13.4218,0.1623529411764706,0.03372549019607843
三一重工,26.6439,12.3802,2.9753,0.5966,0.8965,8.6788,21.4672,29.5278,0.48549019607843136,0.9513725490196079
浙江东日,5.2408,3.5905,2.8804,17.4205,19.0364,15.4989,14.9439,12.4007,0.1027450980392157,0.09333333333333334
伊力特,19.3151,19.6612,17.2052,16.2812,14.7853,17.2763,18.3881,16.7635,0.68,0.7929411764705883
西藏药业,8.5806,7.1433,5.2916,20.5046,34.4825,16.9867,10.0383,13.3199,0.4054901960784314,0.8572549019607844
嘉化能源,2.593,-5.5997,33.7985,21.3497,19.9984,18.5574,16.9159,18.17,0.06274509803921569,0.7552941176470588
羚锐制药,6.3135,12.7984,6.0675,8.1534,18.2311,10.1898,11.4304,13.7202,0.07764705882352942,0.3003921568627451
安琪酵母,9.4256,5.4125,5.2963,9.5574,17.0077,23.8773,21.0593,19.3397,0.7082352941176471,0.9490196078431372
恒顺醋业,-7.9562,7.417999999999999,8.2642,17.5202,11.1934,16.6625,15.8854,15.1427,0.8698039215686274,0.8713725490196078
万华化学,30.1682,32.1584,23.869,14.5251,27.8823,52.8955,34.7549,26.6079,0.912156862745098,0.9654901960784313
西藏珠峰,,137.3309,26.3141,45.4566,66.2148,74.2008,46.4711,24.4361,0.8415686274509804,0.2023529411764706
浙江龙盛,11.5364,16.0482,24.8953,20.331,13.787,15.1927,22.2755,22.5717,0.4384313725490196,0.8588235294117647
五洲交通,11.8735,6.5941,2.4685,-3.2872,7.5882,11.7363,12.3933,22.2401,0.2909803921568627,0.18901960784313726
宁沪高速,12.6697,14.1451,12.8916,12.28,15.6776,15.6915,17.6272,15.3599,0.9913725490196078,0.6078431372549019
海澜之家,5.1928,6.7366,51.6282,38.5274,34.0655,31.3729,28.6283,24.1758,0.8384313725490196,0.1843137254901961
国电南瑞,30.9964,32.1533,19.4117,17.0891,17.1179,22.9579,17.6494,14.8972,0.883921568627451,0.9937254901960785
华鲁恒升,8.5259,8.595,12.89,12.9353,11.2707,14.005999999999998,28.2776,18.6548,0.96,0.952156862745098
宁夏建材,1.6130000000000002,7.6161,6.5323,0.4736,1.3745,7.702999999999999,9.128,14.7411,0.10431372549019607,0.9090196078431373
涪陵电力,8.0888,13.6752,15.08,30.5139,21.1826,22.3534,26.8157,23.8915,0.5215686274509804,0.9317647058823529
扬农化工,10.3495,17.7692,18.1605,15.5466,13.3477,15.6629,21.0068,24.1623,0.9270588235294117,0.9552941176470588
方大炭素,12.6002,4.9719,4.9474,0.5386,1.1621,46.5991,50.0955,14.5785,0.6956862745098039,0.6666666666666666
贵州茅台,45.0047,39.4328,31.9612,26.4205,24.4385,32.9542,34.4643,33.1177,0.956078431372549,0.9725490196078431
山东药玻,6.3232,6.1624,6.0151,6.6927,7.1922,8.3496,10.5729,12.4079,0.7929411764705883,0.8368627450980393
法拉电子,17.1726,18.6028,18.1333,17.7446,19.3252,19.3766,19.1064,17.9223,0.9545098039215686,0.9945098039215686
济川药业,-6.8255,49.05,30.1411,27.6733,29.5379,30.3621,34.2379,28.0737,0.21254901960784314,0.07058823529411765
海螺水泥,13.4575,17.8637,17.9721,10.9962,11.5974,19.1003,29.5052,26.8688,0.22666666666666666,0.7788235294117647
用友网络,12.7616,17.6152,15.2564,6.8121,3.5226,6.7448,9.8573,17.2155,0.6501960784313725,0.8462745098039216
氯碱化工,3.6921,0.5857,-23.6393,4.3204,-15.6113,40.8466,30.82,18.9258,0.6854901960784314,0.4
东阳光,6.0835,5.7933,5.1916,2.7761,3.028,13.1844,19.6499,16.2106,0.483921568627451,0.012549019607843137
四川金顶,,8.4773,-88.6364,16.2108,-183.1706,188.2984,65.509,41.3645,0.5317647058823529,0.15372549019607842
百川能源,13.7341,-26.6796,10.7709,-18.2592,51.0796,28.3976,23.9877,16.186,0.5898039215686275,0.19137254901960785
ST舍得,16.9367,0.5145,0.5972,0.3174,3.5089,5.9706,13.6711,18.2896,0.5105882352941177,0.9976470588235294
祁连山,5.294,11.8301,12.5667,3.7338,3.4405,11.2544,11.8017,19.6519,0.20862745098039215,0.8611764705882353
鲁北化工,1.8033,1.3938,0.7356,2.6576,2.8171,6.9843,7.784,12.3317,0.1003921568627451,0.9176470588235294
江中药业,11.6542,8.4444,12.7433,16.5633,15.2827,15.1081,15.2468,13.6073,0.20705882352941177,0.18274509803921568
通策医疗,24.3753,21.4012,19.1679,26.5184,16.6081,23.9279,28.7803,29.8694,0.9733333333333334,0.9733333333333334
水井坊,18.9985,-8.7386,-29.5706,7.0738,16.3432,22.0006,33.7172,41.6386,0.5294117647058824,0.9450980392156862
华新水泥,7.1723,14.332,13.1911,1.0601,4.6115,18.9785,36.2684,33.3964,0.43686274509803924,0.8266666666666667
福建水泥,2.4329,1.7001,4.1152,-33.7705,1.6326,-22.6979,46.2763,41.4875,0.4172549019607843,0.7764705882352941
山西汾酒,43.9291,26.0238,9.2157,12.5196,13.1767,18.8891,25.619,28.3799,0.9615686274509804,0.9749019607843137
星湖科技,-12.6342,1.3622,-24.4757,-33.4723,2.2925,-15.9345,4.5206,12.0767,0.5466666666666666,0.2752941176470588
通化东宝,3.1294,9.3053,13.5522,21.4467,20.0334,19.7602,18.1278,16.6834,0.03137254901960784,0.06352941176470588
中炬高新,6.6672,10.4315,12.782,10.1577,13.6402,15.2612,18.0096,19.0089,0.7145098039215686,0.8658823529411764
宏发股份,57.7996,19.9619,18.0161,17.1159,18.4301,18.6695,16.6908,15.050999999999998,0.8784313725490196,0.9247058823529412
厦门空港,18.3649,18.4002,17.1647,12.7366,12.623,12.2517,14.4314,14.1299,0.9921568627450981,0.1952941176470588
航民股份,16.7122,21.1471,19.7201,18.7676,18.4156,17.1521,16.8871,16.1745,0.2007843137254902,0.15215686274509804
马应龙,14.2231,13.718,13.4483,13.3107,13.4382,15.4897,7.8965,14.9127,0.008627450980392156,0.45019607843137255
文山电力,12.0279,10.0305,7.6121,7.2083,10.4164,9.5117,16.2185,16.0573,0.7450980392156863,0.08313725490196078
隆基股份,-2.5078,2.4233,9.4988,11.7554,19.6764,29.3523,16.6931,23.9542,0.9137254901960784,0.9584313725490196
山东出版,,,,,,19.7906,16.1742,15.1241,0.38367844092570036,0.06455542021924482
中国神华,20.015,17.3858,13.0486,5.5233,7.5063,14.6738,13.9426,12.7264,0.5741176470588235,0.7019607843137254
恒立液压,8.5449,6.5692,2.6725,1.8366,2.0166,10.392999999999999,19.9389,25.5899,0.6188235294117647,0.9403921568627451
君正集团,8.1418,9.1197,12.3951,8.9859,12.2426,14.6041,14.215,14.1087,0.563921568627451,0.9286274509803921
陕西煤业,,,2.9092,-9.1005,8.4059,26.5916,23.1699,21.3801,0.6494117647058824,0.9835294117647059
旗滨集团,7.434,13.13,6.1971,3.7538,14.9808,17.4418,16.4896,17.0355,0.712156862745098,0.9780392156862745
星宇股份,10.4966,11.7271,14.0755,14.3825,11.9742,12.0949,14.5531,17.0724,0.8541176470588235,0.9254901960784314
中国科传,,,,,,13.9717,12.5136,12.4303,0.08576998050682261,0.37816764132553604
招商南油,,,,,,,10.1344,20.7956,0.28205128205128205,0.047619047619047616
大豪科技,,,,15.6627,16.0172,23.1363,19.8423,14.0764,0.9537254901960784,0.9490196078431372
广州酒家,,,,,,25.7018,21.0131,18.5628,0.6572668112798264,0.8872017353579176
先达股份,,,,,,12.103,20.2835,14.0417,0.40083945435466944,0.11332633788037776
天目湖,,,,,,15.8356,13.0642,14.3107,0.927570093457944,0.7628504672897196
汇顶科技,,,,,43.865,28.5173,19.5569,43.9439,0.014652014652014652,0.5540293040293041
荣晟环保,,,,,,54.6058,18.1438,18.4785,0.5900681596884129,0.5394352482960078
快克股份,,,,,23.2711,19.4773,19.7239,18.6561,0.22397769516728624,0.387546468401487
江山欧派,,,,,,19.1135,14.5944,21.686999999999998,0.5424063116370809,0.9211045364891519
日月股份,,,,,17.1217,8.4441,9.7824,15.4974,0.7442307692307693,0.9605769230769231
景旺电子,,,,,,21.497,21.6366,17.4977,0.006769825918762089,0.5425531914893617
电魂网络,,,,,26.051,10.405,7.8066,12.6182,0.012903225806451613,0.4433179723502304
景津环保,,,,,,,,17.6442,0.3883495145631068,0.7888349514563107
海天味业,,,36.6639,30.9086,30.3027,32.4475,34.0622,35.1523,0.9160784313725491,0.952156862745098
旭升股份,,,,,,26.6814,22.6478,13.7828,0.244249726177437,0.511500547645126
维力医疗,,,,15.9112,9.6903,7.3802,7.1894,12.3932,0.04549019607843137,0.3129411764705882
天味食品,,,,,,,,19.9298,0.553941908713693,0.578838174273859
依顿电子,,,11.4665,11.2294,12.9307,11.7912,14.3702,12.9062,0.6894117647058824,0.0196078431372549
浙江鼎力,,,,19.6319,17.4569,17.2213,20.0033,23.8973,0.7458823529411764,0.8768627450980392
威尔药业,,,,,,,19.4899,13.806,0.6754716981132075,0.15849056603773584
三美股份,,,,,,,,17.3616,0.7963340122199593,0.016293279022403257
易德龙,,,,,,20.8427,13.9315,15.7024,0.1654054054054054,0.8832432432432432
新天然气,,,,,16.4863,14.1397,15.9105,17.6231,0.28378378378378377,0.618018018018018
集友股份,,,,,,26.9746,20.0372,22.486,0.9951076320939335,0.8091976516634051
吉比特,,,,,,28.8383,27.7585,27.0724,0.5637065637065637,0.7992277992277992
金石资源,,,,,,12.9067,17.5601,24.1621,0.24817518248175183,0.8602711157455682
绝味食品,,,,,,24.8561,22.8949,21.1072,0.8695652173913043,0.8806875631951466
荣泰健康,,,,,,23.7805,17.4484,18.9561,0.4219204655674103,0.3860329776915616
苏利股份,,,,,19.7394,15.6981,19.0486,16.2984,0.5352380952380953,0.029523809523809525
地素时尚,,,,,,,25.9897,19.5248,0.36176470588235293,0.5808823529411765
伯特利,,,,,,,15.7873,19.3432,0.3486750348675035,0.5383542538354253
东方电缆,,,10.0494,6.3811,6.2421,4.1231,10.3548,23.3737,0.0,0.9098039215686274
京华激光,,,,,,16.532,13.002,13.137,0.3460166468489893,0.5933412604042806
海利尔,,,,,,25.0126,20.5754,15.0389,0.5951456310679611,0.7961165048543689
彤程新材,,,,,,,23.9286,14.6124,0.7592319054652881,0.7976366322008862
春光科技,,,,,,,17.0381,12.4459,0.0672782874617737,0.6345565749235474
安图生物,,,,,29.5969,26.9647,31.2897,34.5184,0.7099373321396598,0.7958818263205013
灵康药业,,,,20.044,13.4493,13.0437,13.6488,14.9783,0.5090196078431373,0.7105882352941176
大元泵业,,,,,,29.0757,17.6158,16.0028,0.506578947368421,0.6491228070175439
科博达,,,,,,,,18.5234,0.649171270718232,0.6298342541436464
歌力思,,,,14.7275,12.1802,15.8729,16.581,16.9698,0.1796078431372549,0.24941176470588236
诚意药业,,,,,,15.7407,15.3783,18.5397,0.6306760847628657,0.9424823410696267
欧派家居,,,,,,28.549,22.8021,21.4891,0.994908350305499,0.9969450101832994
好太太,,,,,,24.2301,21.9464,20.3077,0.10319410319410319,0.12162162162162163
步长制药,,,,,17.9102,12.7228,14.0523,14.2184,0.25842696629213485,0.3792134831460674
桃李面包,,,,23.8679,22.1858,19.6926,19.5265,19.076,0.16156862745098038,0.851764705882353
好莱客,,,,24.4542,23.9497,21.6325,17.4984,15.0026,0.46901960784313723,0.3686274509803922
国茂股份,,,,,,,,16.6138,0.9525959367945824,0.9525959367945824
世运电路,,,,,,11.0847,9.5355,13.2024,0.013499480789200415,0.446521287642783
克来机电,,,,,,14.6423,14.0522,18.2652,0.1935483870967742,0.8145161290322581
兆易创新,,,,,19.0752,26.1887,22.1699,17.042,0.642413487133984,0.8101153504880213
松霖科技,,,,,,,,15.8623,0.18877551020408162,0.45663265306122447
心脉医疗,,,,,,,,22.1126,0.49640287769784175,0.8465227817745803
嘉必优,,,,,,,,13.3162,0.33015873015873015,0.4126984126984127
佰仁医疗,,,,,,,,13.1114,0.9752321981424149,0.9752321981424149
联瑞新材,,,,,,,,12.2885,0.20943952802359883,0.6430678466076696
嘉元科技,,,,,,,,20.4361,0.9064748201438849,0.9160671462829736
硕世生物,,,,,,,,12.4555,0.027692307692307693,0.3384615384615385
