,Date,Build,C&P Composite Index,Valid Case Num
177,2022-07-02,17719,93.68247574,1
178,2022-07-02,17715,92.10767259,1
179,2022-07-01,17464,91.22871269,1
180,2022-07-01,17685,91.81468595,1
181,2022-06-30,17408,92.2541659,1
182,2022-06-29,17123,92.47390588,1
183,2022-06-29,16885,92.14429592,1
184,2022-06-28,16852,91.59494598,1
185,2022-06-28,16634,92.51052921,1
186,2022-06-27,16599,92.03442593,1
187,2022-06-27,16397,91.00897272,1
188,2022-06-26,16363,93.27961912,1
189,2022-06-24,16136,92.84013917,1
190,2022-06-23,15859,90.31312946,1
191,2022-06-23,16076,90.82585607,1
192,2022-06-22,15786,89.94689617,1
193,2022-06-21,15347,89.83702619,1
194,2022-06-21,15540,90.13001282,1
195,2022-06-20,15304,89.54403955,1
196,2022-06-20,15093,89.54403955,1
197,2022-06-19,15079,90.13001282,1
198,2022-06-19,15068,90.23988281,1
199,2022-06-18,15063,90.13001282,1
200,2022-06-18,15051,89.9835195,1
201,2022-06-17,15028,89.94689617,1
202,2022-06-17,14882,90.38637612,1
203,2022-06-16,14840,89.58066288,1
204,2022-06-15,14332,89.65390954,1
205,2022-06-15,14594,89.58066288,1
206,2022-06-14,14245,90.27650613,1
207,2022-06-13,13917,89.91027284,1
208,2022-06-12,13619,90.49624611,1
209,2022-06-12,13629,90.67936275,1
210,2022-06-11,13613,90.97234939,1
211,2022-06-10,13556,90.64273943,1
212,2022-06-10,13317,89.94689617,1
213,2022-06-09,13219,90.71598608,1
214,2022-06-09,13000,90.20325948,1
215,2022-06-08,12960,90.05676616,1
216,2022-06-08,12722,90.16663615,1
217,2022-06-06,12371,89.76377953,1
218,2022-06-06,12107,90.78923274,1
219,2022-06-05,12063,90.56949277,1
220,2022-06-05,12077,91.00897272,1
221,2022-06-04,12046,91.04559604,1
222,2022-06-03,12000,91.15546603,1
223,2022-06-02,11768,92.03442593,1
224,2022-06-01,11474,91.96117927,1
225,2022-06-01,11283,96.39260209,1
226,2022-05-30,11009,95.58688885,1
227,2022-05-30,10881,92.07104926,1
228,2022-05-30,10857,95.33052554,1
229,2022-05-30,10844,95.00091558,1
230,2022-05-26,10610,96.06299213,1
231,2022-05-26,10551,95.95312214,1
