,open,high,low,close
2015-03-16,3391.16,3449.3,3377.09,3449.3
2015-03-17,3469.6,3504.12,3459.69,3502.85
2015-03-18,3510.5,3577.66,3503.85,3577.3
2015-03-19,3576.02,3600.68,3546.84,3582.27
2015-03-20,3587.08,3632.34,3569.38,3617.32
2015-03-23,3640.1,3688.25,3635.49,3687.73
2015-03-24,3692.57,3715.87,3600.7,3691.41
2015-03-25,3680.95,3693.15,3634.56,3660.73
2015-03-26,3641.94,3707.32,3615.01,3682.09
2015-03-27,3686.13,3710.48,3656.83,3691.1
2015-03-30,3710.61,3795.93,3710.61,3786.57
2015-03-31,3822.99,3835.57,3737.04,3747.9
2015-04-01,3748.34,3817.08,3742.21,3810.29
2015-04-02,3827.69,3835.45,3775.89,3825.78
2015-04-03,3803.38,3864.41,3792.21,3863.93
2015-04-07,3899.42,3961.67,3891.73,3961.38
2015-04-08,3976.53,4000.22,3903.65,3994.81
2015-04-09,4006.13,4016.4,3900.03,3957.53
2015-04-10,3947.49,4040.35,3929.32,4034.31
2015-04-13,4072.72,4128.07,4057.29,4121.72
2015-04-14,4125.78,4168.35,4091.26,4135.56
2015-04-15,4135.65,4175.49,4069.01,4084.16
2015-04-16,4055.92,4195.31,4031.24,4194.82
2015-04-17,4254.72,4317.22,4238.91,4287.3
2015-04-20,4301.35,4356.0,4190.68,4217.08
2015-04-21,4212.19,4294.38,4188.57,4293.62
2015-04-22,4304.6,4400.19,4297.95,4398.49
2015-04-23,4414.48,4444.41,4358.84,4414.51
2015-04-24,4355.95,4416.38,4318.12,4393.69
2015-04-27,4441.93,4529.73,4441.93,4527.4
2015-04-28,4527.64,4572.39,4432.9,4476.22
2015-04-29,4446.12,4499.94,4398.64,4476.62
2015-04-30,4483.01,4507.34,4441.05,4441.65
2015-05-04,4441.34,4487.57,4387.43,4480.46
2015-05-05,4479.85,4488.86,4282.24,4298.71
2015-05-06,4311.64,4376.35,4187.37,4229.27
2015-05-07,4197.9,4213.76,4108.01,4112.21
2015-05-08,4152.98,4206.86,4099.04,4205.92
2015-05-11,4231.27,4334.88,4187.82,4333.58
2015-05-12,4342.37,4402.31,4317.98,4401.22
2015-05-13,4402.38,4415.63,4342.48,4375.76
2015-05-14,4372.82,4397.74,4329.04,4378.31
2015-05-15,4366.82,4366.82,4278.55,4308.69
2015-05-18,4277.9,4324.83,4260.51,4283.49
2015-05-19,4285.78,4418.4,4285.78,4417.55
2015-05-20,4434.98,4520.54,4432.28,4446.29
2015-05-21,4456.44,4530.48,4438.26,4529.42
2015-05-22,4584.98,4658.27,4562.99,4657.6
2015-05-25,4660.07,4814.67,4656.82,4813.8
2015-05-26,4854.85,4911.69,4779.07,4910.9
2015-05-27,4932.85,4958.16,4857.06,4941.71
2015-05-28,4943.74,4986.5,4614.24,4620.27
2015-05-29,4603.47,4698.19,4431.56,4611.74
2015-06-01,4633.1,4829.5,4615.23,4828.74
2015-06-02,4844.7,4911.57,4797.55,4910.53
2015-06-03,4924.38,4942.06,4822.44,4909.98
2015-06-04,4912.94,4947.97,4647.41,4947.1
2015-06-05,5016.09,5051.63,4898.07,5023.1
2015-06-08,5045.69,5146.95,4997.48,5131.88
2015-06-09,5145.98,5147.45,5042.96,5113.53
2015-06-10,5049.2,5164.16,5001.49,5106.04
2015-06-11,5101.44,5122.46,5050.77,5121.59
2015-06-12,5143.34,5178.19,5103.4,5166.35
2015-06-15,5174.42,5176.8,5048.74,5062.99
