TimeStamp,ASP,EQ,free_tw
2024-01-26T08:40:20.953,ASP-1732-Disp_1,L2_LO_DL_RCV0,4504
2024-01-26T08:40:20.953,ASP-1732-Disp_1,L2_LO_DL_RCV0,4503
2024-01-26T08:40:21.849,ASP-1732-Disp_1,L2_LO_UL_0,4491
2024-01-26T08:40:21.849,ASP-1732-Disp_1,L2_LO_DL_RCV0,4495
2024-01-26T08:40:21.869,ASP-1732-Disp_1,L2_LO_UL_0,4490
2024-01-26T08:40:21.869,ASP-1732-Disp_1,L2_LO_DL_RCV0,4494
2024-01-26T08:40:21.873,ASP-1732-Disp_1,L2_LO_DL_RCV0,4494
2024-01-26T08:40:21.873,ASP-1732-Disp_1,L2_LO_UL_0,4490
2024-01-26T08:40:21.873,ASP-1732-Disp_1,L2_LO_DL_RCV0,4495
2024-01-26T08:40:21.873,ASP-1732-Disp_1,L2_LO_UL_0,4491
2024-01-26T08:40:21.889,ASP-1732-Disp_1,L2_LO_UL_0,4491
2024-01-26T08:40:21.889,ASP-1732-Disp_1,L2_LO_DL_RCV0,4495
2024-01-26T08:40:21.984,ASP-1732-Disp_1,L2_LO_DL_RCV0,4496
2024-01-26T08:40:23.881,ASP-1732-Disp_1,L2_LO_UL_0,4490
2024-01-26T08:40:23.881,ASP-1732-Disp_1,L2_LO_DL_RCV0,4494
2024-01-26T08:40:23.900,ASP-1732-Disp_1,L2_LO_DL_RCV0,4494
2024-01-26T08:40:23.949,ASP-1732-Disp_1,L2_LO_UL_0,4491
2024-01-26T08:40:24.083,ASP-1732-Disp_1,L2_LO_DL_RCV0,4496
2024-01-26T08:40:24.083,ASP-1732-Disp_1,L2_LO_UL_0,4492
2024-01-26T08:40:24.693,ASP-1732-Disp_1,L2_LO_UL_0,4492
2024-01-26T08:40:24.997,ASP-1732-Disp_1,L2_LO_UL_0,4488
2024-01-26T08:40:25.093,ASP-1732-Disp_1,L2_LO_UL_0,4488
2024-01-26T08:40:25.093,ASP-1732-Disp_1,L2_LO_DL_RCV0,4493
2024-01-26T08:40:25.887,ASP-1732-Disp_1,L2_LO_UL_0,4487
2024-01-26T08:40:25.887,ASP-1732-Disp_1,L2_LO_DL_RCV0,4492
2024-01-26T08:40:25.909,ASP-1732-Disp_1,L2_LO_UL_0,4486
2024-01-26T08:40:25.909,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:25.911,ASP-1732-Disp_1,L2_LO_UL_0,4486
2024-01-26T08:40:25.951,ASP-1732-Disp_1,L2_LO_UL_0,4484
2024-01-26T08:40:25.951,ASP-1732-Disp_1,L2_LO_DL_RCV0,4489
2024-01-26T08:40:25.951,ASP-1732-Disp_1,L2_LO_UL_0,4484
2024-01-26T08:40:25.951,ASP-1732-Disp_1,L2_LO_DL_RCV0,4489
2024-01-26T08:40:25.951,ASP-1732-Disp_1,L2_LO_UL_0,4484
2024-01-26T08:40:26.304,ASP-1732-Disp_1,L2_LO_DL_RCV0,4480
