,2019,2018,2017,2016,2015,2014,2013,2012,industry
红旗连锁,8.3485,4.0507,9.7652,15.2282,15.154000000000002,7.3736,13.6202,13.2597,零售业
乐普医疗,22.6425,40.0794,30.8527,25.2475,65.9269,28.0348,28.2845,10.4446,专用设备制造业
莱美药业,18.9868,21.8628,29.4738,2.7222,5.722,20.1133,20.2161,18.2303,医药制造业
汉威科技,20.3097,4.718999999999999,30.3741,48.3449,87.0037,32.0143,14.36,1.2171,仪器仪表制造业
安科生物,17.1721,33.3205,29.0917,33.576,17.2102,26.0395,27.3439,26.1363,医药制造业
华测检测,18.7392,26.5623,28.201999999999998,28.2975,39.0683,19.1937,26.0487,23.0219,专业技术服务业
亿纬锂能,47.3537,45.9003,27.4646,73.4491,11.5813,16.3471,71.4355,27.0078,电气机械和器材制造业
爱尔眼科,24.7426,34.3079,49.0562,26.3718,31.7867,21.0119,21.025,25.1411,卫生
北陆药业,34.7117,16.3654,4.7463,1.5118,11.6938,32.6777,21.0368,39.2865,医药制造业
硅宝科技,16.9385,19.5463,11.6108,7.6411,10.3106,18.2555,24.899,9.5621,化学原料和化学制品制造业
新宙邦,7.392,19.2319,14.2469,70.1046,23.4512,10.5837,3.5025,1.0562,化学原料和化学制品制造业
回天新材,8.0642,14.8104,33.9045,16.0359,15.5842,31.4013,26.9634,10.7887,化学原料和化学制品制造业
天源迪科,18.6886,27.1263,21.0291,46.0216,41.2904,15.9886,53.8247,59.3234,软件和信息技术服务业
万顺新材,6.7973,29.7554,43.6907,1.9319,0.8998,6.8796,19.340999999999998,170.3286,有色金属冶炼和压延加工业
蓝色光标,21.6489,51.692,23.6359,47.5825,39.6077,66.8273,64.7529,71.8229,商务服务业
天龙集团,8.8601,15.8752,29.9917,208.6022,89.3393,37.945,83.4137,1.5764,商务服务业
华仁药业,5.6423,5.4871,5.0364,12.9376,20.6307,5.7151,54.2967,38.667,医药制造业
万讯自控,17.4544,7.5439,23.1021,14.9096,15.7853,1.8481,17.7021,49.3285,仪器仪表制造业
中航电测,11.2662,11.8738,14.2651,6.0537,11.6873,9.8711,24.2491,17.4587,计算机、通信和其他电子设备制造业
汇川技术,25.8073,22.9641,30.5256,32.1063,23.5437,29.9375,44.6436,13.2027,电气机械和器材制造业
新国都,30.5502,87.5093,9.797,15.2398,44.1412,35.8635,0.8287,44.9296,专用设备制造业
信维通信,9.0746,37.0372,42.3486,85.61399999999999,60.9436,129.282,63.28,32.3828,计算机、通信和其他电子设备制造业
汤臣倍健,20.9393,39.8606,34.7182,1.9006,32.9073,15.0271,38.9569,62.1202,食品制造业
天舟文化,10.0785,20.2752,20.0123,43.2968,5.5311,57.2674,17.163,0.8308,互联网和相关服务
东方国信,7.7292,32.5493,17.8628,37.2286,51.3343,31.4219,49.5708,75.0467,软件和信息技术服务业
中电环保,13.5875,17.3343,4.9657,6.689,0.0808,12.3257,48.3273,51.1003,生态保护和环境治理业
华峰超纤,5.7165,22.3314,74.1105,26.5731,17.1743,33.5508,18.6658,30.0998,橡胶和塑料制品业
力源信息,21.6218,31.0587,417.2425,56.0924,61.7654,87.1729,14.2028,19.1777,批发业
通裕重工,13.9299,11.4911,30.5033,3.7022,13.9623,24.4358,19.1559,12.1807,通用设备制造业
美亚柏科,29.166,19.7468,33.9442,30.76,26.5406,54.4761,11.5475,30.3453,软件和信息技术服务业
理邦仪器,14.4576,17.7215,20.8121,26.879,5.2337,14.9951,18.8645,1.909,专用设备制造业
欣旺达,24.1041,44.8093,74.428,24.4208,51.2333,94.2092,56.07,36.8692,电气机械和器材制造业
佳讯飞鸿,10.1145,3.7377,11.8537,3.5379,21.7374,69.7292,38.6451,14.3758,计算机、通信和其他电子设备制造业
上海钢联,27.6057,30.3378,78.53399999999999,93.2796,182.6098,386.597,62.7262,172.65599999999998,互联网和相关服务
洲明科技,23.8692,49.2921,73.5753,33.6482,34.2068,23.378,29.8079,14.2128,计算机、通信和其他电子设备制造业
迪安诊断,21.3346,39.2223,30.8617,105.7916,39.1791,31.4755,43.7496,46.4158,卫生
新开普,15.0897,8.8366,12.6018,33.9009,61.8601,42.5879,5.602,13.6598,软件和信息技术服务业
卫宁健康,32.6146,19.5226,26.1173,26.7296,53.2641,40.8751,31.2512,56.4105,软件和信息技术服务业
常山药业,25.3441,16.3694,26.9799,22.0993,12.9058,15.1506,22.4103,35.9117,医药制造业
新天科技,38.0677,14.8162,47.2274,32.9735,0.0422,16.1134,12.3848,23.5902,仪器仪表制造业
华宇软件,29.5977,15.8395,28.4619,34.6563,49.7525,34.7475,22.7361,17.3949,软件和信息技术服务业
开能健康,16.8145,27.3528,10.0322,40.748000000000005,21.9096,20.4148,29.2827,16.2492,电气机械和器材制造业
阳光电源,25.4067,16.6876,48.0107,31.3928,49.2122,44.4187,95.729,24.0016,电气机械和器材制造业
国瓷材料,19.7634,47.6469,78.0907,28.3515,42.0928,40.7126,23.4944,46.8129,化学原料和化学制品制造业
安科瑞,31.0974,12.9395,23.0798,7.2246,8.3579,34.1276,30.1704,7.8775,仪器仪表制造业
博雅生物,18.6621,67.8376,54.292,74.2685,24.073,78.4884,7.9287,15.5216,医药制造业
利亚德,17.4901,19.0056,47.8049,116.4482,71.42,51.6368,36.7638,13.2453,计算机、通信和其他电子设备制造业
三诺生物,14.6852,50.097,29.8007,23.2905,18.4572,21.3493,32.4169,61.8916,专用设备制造业
凯利泰,31.3008,16.0346,45.7086,18.9489,108.1734,75.5225,24.574,25.9914,专用设备制造业
泰格医药,21.8481,36.3731,43.6338,22.7316,53.2271,85.5948,32.3236,31.5896,卫生
长亮科技,20.5636,23.628,35.1629,49.1839,75.0354,40.2781,7.5035,15.7881,软件和信息技术服务业
北信源,26.1324,11.1775,4.5811,4.7412,78.8942,15.1308,20.1343,49.6312,软件和信息技术服务业
浦发银行,11.6016,1.7335,4.8678,9.7182,18.9713,23.1625,20.5697,22.1355,货币金融服务
中国国贸,11.3342,14.6146,17.7519,3.4394,1.6566,8.9807,3.5455,17.9765,房地产业
上海机场,17.5189,15.5132,15.9808,10.5972,9.2945,10.2731,10.4804,2.3682,航空运输业
华夏银行,17.3162,8.8018,3.7007,8.8046,7.2133,21.375999999999998,13.6784,18.5821,货币金融服务
招商银行,8.5084,12.5208,5.3295,3.7494,21.4683,25.0814,16.9688,17.8978,货币金融服务
中国医药,13.7999,2.1379,16.0205,25.1221,15.1918,20.4178,9.4375,36.1974,医药制造业
人福医药,17.027,20.641,25.2595,22.6475,42.5767,17.3275,13.0357,46.8228,医药制造业
广州发展,13.6732,5.3943,12.0126,4.2218,8.5924,15.1011,9.6541,14.523,电力、热力生产和供应业
东方航空,5.1597,12.9855,3.2072,5.0254,4.5662,1.8579,1.8516,1.8991,航空运输业
太极集团,8.922,21.8405,9.8429,8.597999999999999,2.9689,5.3759,0.0053,3.307,医药制造业
建发股份,20.2784,28.2616,50.1478,13.6642,5.9241,18.475,11.957,13.5978,批发业
联美控股,11.8256,11.8949,16.2357,15.9485,14.549000000000001,13.6554,17.8753,21.5551,电力、热力生产和供应业
上海建工,20.4936,20.0328,6.3043,6.5581,8.5718,10.4669,9.5352,12.2255,土木工程建筑业
瑞茂通,5.6721,1.5983,76.5955,125.7678,12.7772,28.4835,22.9011,59.4792,批发业
生益科技,10.5166,11.453,25.9212,12.1952,2.5905,12.9037,7.8338,3.6762,计算机、通信和其他电子设备制造业
复星医药,14.7156,34.4495,26.6921,16.0221,4.849,20.2985,36.1763,13.1869,医药制造业
恒瑞医药,33.7048,25.8916,24.7158,19.083,25.0086,20.1381,14.1306,19.4418,医药制造业
钱江水利,10.0325,8.8102,20.3308,1.3755,0.1807,9.4363,8.1754,18.3169,水的生产和供应业
羚锐制药,5.0625,11.0676,28.430999999999997,32.6783,29.5898,20.2772,22.0853,25.3851,医药制造业
安琪酵母,14.4662,15.7534,18.8291,15.36,15.3045,17.1423,14.9509,8.2959,食品制造业
瀚蓝环境,27.04,15.3832,13.8669,9.9309,37.8464,12.9372,13.1239,18.3991,生态保护和环境治理业
白云山,53.7908,101.5528,4.5845,4.7636,1.6283,6.7678,45.9729,51.2803,医药制造业
美克家居,6.2148,25.8793,20.5655,21.2568,5.3449,1.4434,1.676,2.7489,零售业
华夏幸福,25.5505,40.5182,10.8041,40.3966,42.5847,27.6632,74.3799,55.0312,房地产业
联创光电,26.3834,14.4986,20.1625,0.2822,27.6043,22.1421,26.6482,8.0764,计算机、通信和其他电子设备制造业
中航电子,9.2728,8.8325,0.9259999999999999,2.1912,3.0697,10.1371,8.2042,17.3613,铁路、船舶、航空航天和其他运输设备制造业
首开股份,19.9049,8.3137,22.7364,26.5281,13.2725,54.4328,6.5149s,40.1777,房地产业
健康元,6.9278,3.94,10.8801,12.4932,16.5004,19.2611,6.3235,22.09,医药制造业
龙净环保,16.3016,15.8962,1.1111,8.5588,22.6377,8.2334,31.3198,20.6233,专用设备制造业
昆药集团,14.3338,21.3539,14.7373,3.7617,13.9007,14.9601,18.8418,23.9117,医药制造业
三元股份,9.3198,21.804000000000002,4.5638,5.9814,0.3497,18.87,6.6077,15.7223,食品制造业
片仔癀,20.0605,28.3311,60.85,22.4471,29.7004,4.1552,19.1875,14.642999999999999,医药制造业
